Facility, District,Hub
"Bufunda H/C III","Ibanda","Ruhoko Hub"
"Kanywambogo H/C III","Ibanda","Ruhoko Hub"
"Rwenkobwa H/C III","Ibanda","Ruhoko Hub"
"Nyamarebe H/C III","Ibanda","Ruhoko Hub"
"Nyabuhikye Prison H/C II","Ibanda","Ruhoko Hub"
"Ibanda Mission H/C III","Ibanda","Ruhoko Hub"
"Bugono H/C IV","Iganga","Iganga Hub"
"Bunyiiro H/C III","Iganga","Iganga Hub"
"Iganga Hospital","Iganga","Iganga Hub"
"Nambale H/C III","Iganga","Iganga Hub"
"Namungalwe H/C III","Iganga","Iganga Hub"
"Iganga Islamic Medical Center","Iganga","Iganga Hub"
"Busembatia H/C III","Iganga","Iganga Hub"
"Iganga Town Council H/C III","Iganga","Iganga Hub"
"Nakalama H/C III","Iganga","Iganga Hub"
"Makuutu H/C III","Iganga","Iganga Hub"
"Bulamagi H/C III","Iganga","Iganga Hub"
"Nawandala H/C III","Iganga","Iganga Hub"
"Lubira H/C III","Iganga","Iganga Hub"
"Busowobi H/C III","Iganga","Iganga Hub"
"Ibulanku H/C III","Iganga","Iganga Hub"
"Bukunga H/C III","Iganga","Iganga Hub"
"Igombe H/CIII","Iganga","Iganga Hub"
"Kasambiika H/C III","Iganga","Iganga Hub"
"Nsale H/C II","Iganga","Iganga Hub"
"Endiinzi H/C III","Isingiro","Rwekubo Hub"
"Kabuyanda H/C IV","Isingiro","Rwekubo Hub"
"Mbaare H/C III","Isingiro","Rwekubo Hub"
"Nakivale H/C III","Isingiro","Rwekubo Hub"
"Nshungyezi H/C III","Isingiro","Rwekubo Hub"
"Nyakitunda H/C III","Isingiro","Rwekubo Hub"
"Nyamuyanja H/C IV","Isingiro","Rwekubo Hub"
"Nyarubungo H/C III","Isingiro","Rwekubo Hub"
"Rugaaga H/C IV","Isingiro","Rwekubo Hub"
"Ruhiira H/C III","Isingiro","Rwekubo Hub"
"Rwekubo H/C IV","Isingiro","Rwekubo Hub"
"Kibengo H/C II (Isingiro)","Isingiro","Rwekubo Hub"
"Kakoma H/C III (Isingiro)","Isingiro","Rwekubo Hub"
"Kyabirukwa H/C III","Isingiro","Rwekubo Hub"
"Juru H/C II","Isingiro","Rwekubo Hub"
"Rubondo H/C II","Isingiro","Rwekubo Hub"
"Kikokwa H/C III","Isingiro","Rwekubo Hub"
"Ndinzi H/C III","Isingiro","Rwekubo Hub"
"Ngarama H/C III","Isingiro","Rwekubo Hub"
"Kabugu H/C II","Isingiro","Rwekubo Hub"
"Kashumba H/C III","Isingiro","Rwekubo Hub"
"Kikagate H/C III","Isingiro","Rwekubo Hub"
"Kanywamaizi H/C III","Isingiro","Rwekubo Hub"
"Kyeirumba H/C III","Isingiro","Rwekubo Hub"
"Rushasha H/C III","Isingiro","Rwekubo Hub"
"Mabona H/C III","Isingiro","Rwekubo Hub"
"Kamubeizi H/C II","Isingiro","Rwekubo Hub"
"Ntungu H/C II","Isingiro","Rwekubo Hub"
"Ruborogota H/C III","Isingiro","Rwekubo Hub"
"Kasaana H/C III","Isingiro","Rwekubo Hub"
"Isibuka H/C III","Isingiro","Rwekubo Hub"
"Rulongo H/C II","Isingiro","Rwekubo Hub"
"Rwetango H/C II","Isingiro","Rwekubo Hub"
"Budondo H/C IV","Jinja","Jinja Hub"
"Bugembe H/C  IV","Jinja","Jinja Hub"
"Buwenge H/C IV","Jinja","Jinja Hub"
"Family Hope Centre Jinja","Jinja","Jinja Hub"
"Jinja R R Hospital","Jinja","Jinja Hub"
"Mpumudde H/C IV (Jinja)","Jinja","Jinja Hub"
"TASO Jinja","Jinja","Jinja Hub"
"Walukuba H/C IV","Jinja","Jinja Hub"
"Jinja Central H/C III","Jinja","Jinja Hub"
"Busedde H/C III","Jinja","Jinja Hub"
"Budima H/C III","Jinja","Jinja Hub"
"Lukolo H/C III","Jinja","Jinja Hub"
"Kakaire H/C III","Jinja","Jinja Hub"
"Buwenge General Hospital","Jinja","Jinja Hub"
"Magamaga H/C III (Jinja)","Jinja","Jinja Hub"
"Gadafi H/C III","Jinja","Jinja Hub"
"Jinja Police H/C III (Maternity)","Jinja","Jinja Hub"
"Kakira H/C III (Jinja)","Jinja","Jinja Hub"
"Kakira Sugar Ltd Hospital","Jinja","Jinja Hub"
"Butagaya H/C III","Jinja","Jinja Hub"
"Muwumba H/C III","Jinja","Jinja Hub"
"Wakitaka H/C III","Jinja","Jinja Hub"
"Jinja Remand H/C II","Jinja","Jinja Hub"
"Aids Information Center(Jinja)","Jinja","Jinja Hub"
"Jinja Main Prison H/C III","Jinja","Jinja Hub"
"Mpambwa H/C III","Jinja","Jinja Hub"
"St Benedict Health Center","Jinja","Jinja Hub"
"Aoet H/C III","Jinja","Jinja Hub"
"Jinja Islamic H/C","Jinja","Jinja Hub"
"Buyengo H/C III","Jinja","Jinja Hub"
"Almeca Medicare","Jinja","Jinja Hub"
"Buwenge NGO","Jinja","Jinja Hub"
"Soft Power Clinic","Jinja","Jinja Hub"
"Jinja Flep","Jinja","Jinja Hub"
"Crane Survey Jinja","Jinja","Jinja Hub"
"Busonde H/C III","Jinja","Jinja Hub"
"Kaabong Hospital","Kaabong","Kaabong Hub"
"Karenga H/C IV","Kaabong","Kaabong Hub"
"Kathile H/C III","Kaabong","Kaabong Hub"
"Kalapata H/C III","Kaabong","Kaabong Hub"
"Kopoth H/C III","Kaabong","Kaabong Hub"
"Kapedo H/C III","Kaabong","Kaabong Hub"
"Loyoro H/C II","Kaabong","Kaabong Hub"
"Kamese H/C II","Kaabong","Kaabong Hub"
"Kaabong Mission H/C III","Kaabong","Kaabong Hub"
"Lokolia H/C II","Kaabong","Kaabong Hub"
"Lobalangit H/C II","Kaabong","Kaabong Hub"
"Lomeris H/C II","Kaabong","Kaabong Hub"
"Kabale R R Hospital","Kabale","Kabale Hub"
"Kamuganguzi H/C III","Kabale","Kabale Hub"
"Kamukira H/C IV","Kabale","Kabale Hub"
"Maziba H/C IV","Kabale","Kabale Hub"
"Rubaya H/C IV (Kabale)","Kabale","Kabale Hub"
"Rugarama Hospital","Kabale","Kabale Hub"
"Rushoroza H/C III","Kabale","Kabale Hub"
"Kakomo H/C III","Kabale","Kabale Hub"
"Kyogo H/C III","Kabale","Kabale Hub"
"AIDS Information Centre (Kabale)","Kabale","Kabale Hub"
"Kihefo H/C III","Kabale","Kabale Hub"
"Kibanda H/C II (Kabale)","Kabale","Kabale Hub"
"Kafunjo H/C II","Kabale","Kabale Hub"
"Bwama H/C III","Kabale","Kabale Hub"
"Rubaare H/C III (Kabaale)","Kabale","Kabale Hub"
"Kyanamira H/C III","Kabale","Kabale Hub"
"Butanda H/C III","Kabale","Kabale Hub"
"Buhara H/C III (NGO)","Kabale","Kabale Hub"
"Kakatunda H/C III","Kabale","Kabale Hub"
"Rwanjura H/C II","Kabale","Kabale Hub"
"Kundago H/C II","Kabale","Kabale Hub"
"Nangara H/C II","Kabale","Kabale Hub"
"Kaharo H/C III","Kabale","Kabale Hub"
"Buhara H/C III (Govt)","Kabale","Kabale Hub"
"Kibuzigye H/C II","Kabale","Kabale Hub"
"Kandago H/C II","Kabale","Kabale Hub"
"Rwene H/C II","Kabale","Kabale Hub"
"Kirigime H/C III","Kabale","Kabale Hub"
"Ndorwa Prison","Kabale","Kabale Hub"
"Kashasha H/C II","Kabale","Kabale Hub"
"Nyamarunda Medical Center","Kabale","Kabale Hub"
"Kasheregyenyi H/C III","Kabale","Kabale Hub"
"FortPortal R R Hospital","Kabarole","FortPortal Hub"
"Kabarole Hospital C.O.U","Kabarole","FortPortal Hub"
"Virika Hospital","Kabarole","FortPortal Hub"
"Kida Hospital","Kabarole","FortPortal Hub"
"FortPortal Prisons H/C III","Kabarole","FortPortal Hub"
"Mucwa H/C III","Kabarole","FortPortal Hub"
"Muhoti H/C III","Kabarole","FortPortal Hub"
"Nkuruba H/C III","Kabarole","FortPortal Hub"
"Toro Kahuna H/C III","Kabarole","FortPortal Hub"
"Bukuuku H/C IV","Kabarole","FortPortal Hub"
"Kataraka H/C IV","Kabarole","FortPortal Hub"
"Kagote H/C III","Kabarole","FortPortal Hub"
"Kabende H/C III","Kabarole","FortPortal Hub"
"Nyabuswa H/C III","Kabarole","FortPortal Hub"
"Kasusu H/C III","Kabarole","FortPortal Hub"
"Kiko H/C III","Kabarole","FortPortal Hub"
"Buziirasagama H/C II","Kabarole","FortPortal Hub"
"Kicwamba H/C III (Kabarole)","Kabarole","FortPortal Hub"
"Kijura H/C III","Kabarole","FortPortal Hub"
"Kasenda H/C III","Kabarole","FortPortal Hub"
"Kaswa H/C III","Kabarole","FortPortal Hub"
"Mugusu H/C III","Kabarole","FortPortal Hub"
"Karambi H/C III (Kabarole)","Kabarole","FortPortal Hub"
"Ruteete H/C III","Kabarole","FortPortal Hub"
"Katojo H/C III (Prisons)","Kabarole","FortPortal Hub"
"Nyantabooma HCIII","Kabarole","FortPortal Hub"
"Kidubuli HCIII","Kabarole","FortPortal Hub"
"Maranatha H/C II","Kabarole","FortPortal Hub"
"Iruhuura H/C III","Kabarole","FortPortal Hub"
"Kihembo H/C II","Kabarole","FortPortal Hub"
"Fort Police H/C III","Kabarole","FortPortal Hub"
"Yawe Medical Center","Kabarole","FortPortal Hub"
"Kaberamaido Catholic H/C III","Kaberamaido","Kaberamaido Hub"
"Alwa H/C III","Kaberamaido","Kaberamaido Hub"
"Kobulubulu H/C III","Kaberamaido","Kaberamaido Hub"
"Ochero H/C III","Kaberamaido","Kaberamaido Hub"
"Kaberamaido General Hospital","Kaberamaido","Kaberamaido Hub"
"Aperkira H/C III","Kaberamaido","Kaberamaido Hub"
"Kyakuterekera H/C III (Kibaale)","Kagadi","Kagadi Hub"
"St Ambrose Charity H/C III(Kagadi)","Kagadi","Kagadi Hub"
"Kinyarugunjo H/C III","Kagadi","Kagadi Hub"
"Muhoro H/C III","Kagadi","Kagadi Hub"
"Rugashali H/C III","Kagadi","Kagadi Hub"
"Mabaale H/C III (kagadi)","Kagadi","Kagadi Hub"
"Bwikara H/C III","Kagadi","Kagadi Hub"
"Isunga H/C III","Kagadi","Kagadi Hub"
"Kyaterekera H/C III (Kagadi)","Kagadi","Kagadi Hub"
"Mpeefu H/C III","Kagadi","Kagadi Hub"
"Kagadi Hospital","Kagadi","Kagadi Hub"
"kiryanga H/C III","Kagadi","Kagadi Hub"
"Muzizi H/C II","Kagadi","Kagadi Hub"
"Kasojo H/C III","Kagadi","Kagadi Hub"
"Kasambya H/C III (Kakumiro)","Kakumiro","Kakindo Hub"
"Kisiita H/C III","Kakumiro","Kakindo Hub"
"Kakumiro H/C IV","Kakumiro","Kakindo Hub"
"Igayaza H/C II","Kakumiro","Kakindo Hub"
"Nkooko H/C III","Kakumiro","Kakindo Hub"
"Kakindo H/C IV","Kakumiro","Kakindo Hub"
"Nalweyo H/C III","Kakumiro","Kakindo Hub"
"Kyabasaija H/C III","Kakumiro","Kakindo Hub"
"Kyakuterekera H/C III (Kakumiro)","Kakumiro","Kakindo Hub"
"Kisengwe H/C III","Kakumiro","Kakindo Hub"
"St Marys  H/C IV Kakumiro)","Kakumiro","Kakindo Hub"
"Otuboi H/C III","Kalaki","Kaberamaido Hub"
"Lwala Hospital","Kalaki","Kaberamaido Hub"
"Kalaki H/C III","Kalaki","Kaberamaido Hub"
"Bululu H/C III","Kalaki","Kaberamaido Hub"
"Kakure H/C II","Kalaki","Kaberamaido Hub"
"Apapai H/C II (Kaberamaido)","Kalaki","Kaberamaido Hub"
"Anyara H/C III","Kalaki","Kaberamaido Hub"
"Kalangala H/C IV","Kalangala","Kalangala Hub"
"Mugoye H/C III","Kalangala","Kalangala Hub"
"Bwendero H/C III","Kalangala","Kalangala Hub"
"Bufumira H/C III","Kalangala","Kalangala Hub"
"Bukasa H/C IV","Kalangala","Kalangala Hub"
"Mazinga H/C III","Kalangala","Kalangala Hub"
"Lulamba H/C III","Kalangala","Kalangala Hub"
"Bubeke H/C III","Kalangala","Kalangala Hub"
"Kasekulo H/C II","Kalangala","Kalangala Hub"
"Lujjabwa H/C II","Kalangala","Kalangala Hub"
"Jaana H/C II","Kalangala","Kalangala Hub"
"SIAAP Bugoma Clinic","Kalangala","Kalangala Hub"
"Bumangi H/C II","Kalangala","Kalangala Hub"
"Mulabana H/C II","Kalangala","Kalangala Hub"
"Kachanga H/C II","Kalangala","Kalangala Hub"
"Dajje H/C II","Kalangala","Kalangala Hub"
"Crane Survey Buvuma","Kalangala","Kalangala Hub"
"Bumanya H/C IV","Kaliro","Bumanya Hub"
"Namugongo H/C III (kaliro)","Kaliro","Bumanya Hub"
"Nawaikoke H/C III","Kaliro","Bumanya Hub"
"Budini H/C III","Kaliro","Bumanya Hub"
"Gadumire H/C III","Kaliro","Bumanya Hub"
"Namwiwa H/C III","Kaliro","Bumanya Hub"
"Community H/C (Kaliro)","Kaliro","Bumanya Hub"
"Kaliro T C","Kaliro","Bumanya Hub"
"Dr Ambrosolic Clinic (Kaliro)","Kaliro","Bumanya Hub"
"Nawampiti H/C III","Kaliro","Bumanya Hub"
"Budomero H/C III","Kaliro","Bumanya Hub"
"Bukulula H/C IV","Kalungu","Ssembabule Hub"
"Kalungu H/C III","Kalungu","Ssembabule Hub"
"Villa Maria Hospital","Kalungu","Ssembabule Hub"
"Kyamulibwa H/C III","Kalungu","Ssembabule Hub"
"Kiragga H/C III","Kalungu","Ssembabule Hub"
"Lukaya H/C III","Kalungu","Ssembabule Hub"
"Kasambya H/C III (Kalungu)","Kalungu","Ssembabule Hub"
"Kabaale H/C III(KALUNGU)","Kalungu","Ssembabule Hub"
"Kalungu Uganda Cares","Kalungu","Masaka Hub"
"Lukaya Health Care Centre (Uganda Cares)","Kalungu","Ssembabule Hub"
"St Monica Birongo H/C III (Kalungu)","Kalungu","Ssembabule Hub"
"Kalungi H/C III(Kalungu)","Kalungu","Ssembabule Hub"
"Kyamulibwa H/C IV","Kalungu","Ssembabule Hub"
"Kiti H/C III","Kalungu","Ssembabule Hub"
"Well Springs Childrens Medical Ceter - Kamutuuza H/C III","Kalungu","Ssembabule Hub"
"Kabungo H/C III","Kalungu","Ssembabule Hub"
"St Francis H/C III (Butenga)","Kalungu","Ssembabule Hub"
"Mukwano Medical Centre","Kalungu","Ssembabule Hub"
"Kigasa H/C III","Kalungu","Ssembabule Hub"
"Teguzibirwa Dom Clinic","Kalungu","Ssembabule Hub"
"Kyamulibwa MRC","Kalungu","Ssembabule Hub"
"Theresa Ledochow H/C II","Kalungu","Ssembabule Hub"
"St Francis Of Asiisi Martenity Home (Lukaya)","Kalungu","Ssembabule Hub"
"Nabutongwa H/C III","Kalungu","Ssembabule Hub"
"Alive Medical Services H/C III","Kampala","Kampala Hub"
"Butabika  Hospital","Kampala","Kampala Hub"
"Family Hope Centre Kampala","Kampala","Kampala Hub"
"Kampala Dispensary","Kampala","Kampala Hub"
"Kamwokya Christian Caring Community","Kampala","Kampala Hub"
"Kawempe Home Care","Kampala","Kampala Hub"
"Kibuli Muslim Hospital","Kampala","Kampala Hub"
"Kiswa H/C IV","Kampala","Kampala Hub"
"Kitebi H/C III","Kampala","Kampala Hub"
"Mengo Hospital-EMTCT","Kampala","Kampala Hub"
"Nsambya Hospital","Kampala","Kampala Hub"
"PIDC (Baylor-Mulago)","Kampala","Kampala Hub"
"Lubaga Hospital","Kampala","Kampala Hub"
"St Balikuddembe Market/Uganda Cares  AHF","Kampala","Kampala Hub"
"TASO Mulago","Kampala","Kampala Hub"
"Komamboga H/C III","Kampala","Kampala Hub"
"Kisugu H/C III","Kampala","Kampala Hub"
"Kisenyi H/C IV (Kampala)","Kampala","Kampala Hub"
"Kawaala H/C III","Kampala","Kampala Hub"
"Hope Clinic Lukuli","Kampala","Kampala Hub"
"Nsambya Home Care","Kampala","Kampala Hub"
"PNC (Baylor-Mulago)","Kampala","Kampala Hub"
"JOY Medical Centre(Kampala)","Kampala","Kampala Hub"
"Reachout (Mbuya Site)","Kampala","Kampala Hub"
"Reachout (Banda Site)","Kampala","Kampala Hub"
"Nsambya Police H/C IV","Kampala","Kampala Hub"
"China Uganda Friendship Hospital- Naguru","Kampala","Kampala Hub"
"St Stephens Hospital (Mpererwe)","Kampala","Kampala Hub"
"Naguru Police H/C IV","Kampala","Kampala Hub"
"Good Health for Women Project Clinic (MRC/UVRI)","Kampala","Kampala Hub"
"MJAP-MUH","Kampala","Kampala Hub"
"IDI Mulago","Kampala","Kampala Hub"
"MJAP (Iss Clinic) Mulago","Kampala","Kampala Hub"
"STD/MARPI Clinic-Mulago","Kampala","Kampala Hub"
"Kawempe National Referral Hospital","Kampala","Kampala Hub"
"Holy Cross Orthodox Hospital Namungoona","Kampala","Kampala Hub"
"Benedict Medical Center","Kampala","Kampala Hub"
"Royal Health Care","Kampala","Kampala Hub"
"Rift Valley Medical Center","Kampala","Kampala Hub"
"Equator Health Services","Kampala","Kampala Hub"
"Zaam Medical Centre","Kampala","Kampala Hub"
"Bugolobi Medical Centre","Kampala","Kampala Hub"
"Kampala Medical Chambers","Kampala","Kampala Hub"
"Ministry of Defence Clinic","Kampala","Kampala Hub"
"Mengo Hospital Counselling and HomeCare","Kampala","Kampala Hub"
"Reachout (Kinawataka Site)","Kampala","Kampala Hub"
"St Stephens Disp and Maternity Center (Luzira)","Kampala","Kampala Hub"
"Ikan Medical Center","Kampala","Kampala Hub"
"Mukwaya General Hospital","Kampala","Kampala Hub"
"Kitante Medical Centre","Kampala","Kampala Hub"
"Span Medicare","Kampala","Kampala Hub"
"Case Hospital","Kampala","Kampala Hub"
"Touch Namuwongo (IHK)","Kampala","Kampala Hub"
"International Medical Centre","Kampala","Kampala Hub"
"Naguru Medical lab","Kampala","Kampala Hub"
"MBN-Kampala","Kampala","Kampala Hub"
"Meeting Point Kampala","Kampala","Kampala Hub"
"Chandaria Medical Clinic","Kampala","Kampala Hub"
"Kyadondo Medical Center","Kampala","Kampala Hub"
"Dr Charles Farthing Memorial Clinic","Kampala","Kampala Hub"
"EQA","Kampala","Self Pick"
"SAS Clinic Bugolobi","Kampala","Self Pick"
"Kadic Clinic Nakulabye","Kampala","Kampala Hub"
"Aids Information Centre (Kampala)","Kampala","Kampala Hub"
"CPHL","Kampala","Kampala Hub"
"Galilee Com Gen Hospital","Kampala","Self Pick"
"CDC-Kiruddu","Kampala","Kampala Hub"
"SAREC Medicare Center","Kampala","Kampala Hub"
"Wentz Medical Center","Kampala","Kampala Hub"
"Old Kampala Hospital","Kampala","Kampala Hub"
"Murchison Bay Hospital","Kampala","Kampala Hub"
"Military Police H/C III (Makindye)","Kampala","Kampala Hub"
"St Catherine Hospital","Kampala","Kampala Hub"
"Paragon Hospital","Kampala","Kampala Hub"
"International Hospital Kampala","Kampala","Kampala Hub"
"Busabala Rd Nursing Home","Kampala","Kampala Hub"
"Mulago National Hospital- MUJHU Clinic","Kampala","Kampala Hub"
"Kitaka HC II","Kampala","Kampala Hub"
"Mulago National Hospital- MJAP (CDC) Mulago","Kampala","Kampala Hub"
"Mulago National Hospital- MJAP TB HIV Clinic","Kampala","Kampala Hub"
"MUWRP Clinic","Kampala","Kampala Hub"
"Jumbo Medical Clinic","Kampala","Kampala Hub"
"The Surgery","Kampala","Kampala Hub"
"Mukisa Nursing Home","Kampala","Kampala Hub"
"Bazadde Clinic","Kampala","Kampala Hub"
"Katwe Martyrs Clinc","Kampala","Kampala Hub"
"kololo H/C II","Kampala","Kampala Hub"
"Kampala Remand Prison","Kampala","Kampala Hub"
"Nakasero Hospital","Kampala","Kampala Hub"
"Prime Care Medical Centre","Kampala","Kampala Hub"
"VQA Laboratory","Kampala","Kampala Hub"
"Vine Medicare Clinic","Kampala","Kampala Hub"
"Adventist Medical Center","Kampala","Kampala Hub"
"Kampala Hospital","Kampala","Kampala Hub"
"St Joseph's Clinic (Wandegeya)","Kampala","Kampala Hub"
"St Joseph Health Care Clinic (Kawempe)","Kampala","Kampala Hub"
"Uganda Cancer Institute","Kampala","Kampala Hub"
"Dr Ddamulira's Clinic","Kampala","Kampala Hub"
"Pearl Medical Centre","Kampala","Kampala Hub"
"Medik Hospital Kawempe","Kampala","Kampala Hub"
"Victoria Medical Centre","Kampala","Kampala Hub"
"Philomena H/C III","Kampala","Kampala Hub"
"Kabaka Foundation Hospital","Kampala","Kampala Hub"
"Sawa Health Care Group","Kampala","Kampala Hub"
"Agakhan University Hospital","Kampala","Kampala Hub"
"Braakline Clinic","Kampala","Kampala Hub"
"Kyambogo University Medical Centre","Kampala","Kampala Hub"
"Iran Hospital","Kampala","Kampala Hub"
"Child and Family Medical","Kampala","Kampala Hub"
"Access Clinic","Kampala","Kampala Hub"
"Abii Clinic","Kampala","Kampala Hub"
"Kisaasi COU H/C III","Kampala","Kampala Hub"
"Alpha Medical Centre (Banda)","Kampala","Kampala Hub"
"LAB CONNECT","Kampala","Kampala Hub"
"He Reigns Medical Solutions Kampala","Kampala","Kampala Hub"
"ST KIZITO BWAISE CLINIC","Kampala","Kampala Hub"
"Kampala Independent Hospital","Kampala","Kampala Hub"
"Crane Survey Kampala","Kampala","Kampala Hub"
"Bank Of Uganda Clinic","Kampala","Kampala Hub"
"Bukoto H/C II","Kampala","Kampala Hub"
"Nakasero Clinic","Kampala","Kampala Hub"
"Kamuli District Govt Hospital","Kamuli","Kamuli Hub"
"Kamuli Mission Hospital","Kamuli","Kamuli Hub"
"Namwendwa H/C IV","Kamuli","Kamuli Hub"
"Nankandulo H/C IV","Kamuli","Kamuli Hub"
"Lulyambuzi H/C III","Kamuli","Kamuli Hub"
"Namasagali H/C III","Kamuli","Kamuli Hub"
"Kitayunjwa H/C III","Kamuli","Kamuli Hub"
"Bulopa H/C III","Kamuli","Kamuli Hub"
"Balawoli H/C III","Kamuli","Kamuli Hub"
"Mbulamuti H/C III","Kamuli","Kamuli Hub"
"Bupadhengo H/C III","Kamuli","Kamuli Hub"
"Nabirumba H/C III","Kamuli","Kamuli Hub"
"Bugulumbya H/C III","Kamuli","Kamuli Hub"
"Butansi H/C III","Kamuli","Kamuli Hub"
"Nawanyago H/C III","Kamuli","Kamuli Hub"
"Kiige H/C II","Kamuli","Kamuli Hub"
"Buluya H/C II","Kamuli","Kamuli Hub"
"Namuningi H/C II","Kamuli","Kamuli Hub"
"Kasolwe H/C II","Kamuli","Kamuli Hub"
"Kibuye H/C II","Kamuli","Kamuli Hub"
"Bugeywa H/C II","Kamuli","Kamuli Hub"
"Kamuli VSC Clinic","Kamuli","Kamuli Hub"
"Kagumba H/C III","Kamuli","Kamuli Hub"
"Kamuli Police H/C III","Kamuli","Kamuli Hub"
"Kamwenge H/C III","Kamwenge","Rukunyu Hub"
"Rukunyu General Hospital","Kamwenge","Rukunyu Hub"
"Ntara H/C IV","Kamwenge","Rukunyu Hub"
"Biguli H/C III","Kamwenge","Rukunyu Hub"
"Bwizi H/C III","Kamwenge","Rukunyu Hub"
"Kyabenda H/C III","Kamwenge","Rukunyu Hub"
"Kakasi C.O.U H/C III","Kamwenge","Rukunyu Hub"
"Bigodi H/C III","Kamwenge","Rukunyu Hub"
"Mahyoro H/C III","Kamwenge","Rukunyu Hub"
"kabuga H/C III","Kamwenge","Rukunyu Hub"
"Kanara H/C II","Kamwenge","Rukunyu Hub"
"Rwenjasa H/C II","Kamwenge","Rukunyu Hub"
"Rwamwanja H/C III","Kamwenge","Rukunyu Hub"
"Kicheche H/C III","Kamwenge","Rukunyu Hub"
"Bunoga H/C III","Kamwenge","Rukunyu Hub"
"Padre Pio H/C III","Kamwenge","Rukunyu Hub"
"Bihanga H/C II (Kamwenge)","Kamwenge","Rukunyu Hub"
"Kabambiro H/C III","Kamwenge","Rukunyu Hub"
"Kimulikidongo  H/C III","Kamwenge","Rukunyu Hub"
"Ntonwa H/C II","Kamwenge","Rukunyu Hub"
"Bukurungu H/C II","Kamwenge","Rukunyu Hub"
"Busiriba H/C II","Kamwenge","Rukunyu Hub"
"Kyakarafa H/C II","Kamwenge","Rukunyu Hub"
"Nyabbani H/C III","Kamwenge","Rukunyu Hub"
"Kicwamba H/C III (Kamwenge)","Kamwenge","Rukunyu Hub"
"Kiyagara H/C II","Kamwenge","Rukunyu Hub"
"Kyempango H/C III","Kamwenge","Rukunyu Hub"
"Malere H/C II","Kamwenge","Rukunyu Hub"
"Bisozi H/C IV","Kamwenge","Rukunyu Hub"
"Mahega H/C III","Kamwenge","Rukunyu Hub"
"Bwindi Community Hospital","Kanungu","Kanungu Hub"
"Kambuga Hospital","Kanungu","Kanungu Hub"
"Kanungu H/C IV","Kanungu","Kanungu Hub"
"Kihiihi H/C IV","Kanungu","Kanungu Hub"
"Kanyantorogo H/C III","Kanungu","Kanungu Hub"
"Rutenga H/C III","Kanungu","Kanungu Hub"
"Nyakatare H/C III","Kanungu","Kanungu Hub"
"Mpungu H/C III (Kanungu)","Kanungu","Kanungu Hub"
"Katete H/C III (Kanungu)","Kanungu","Kanungu Hub"
"Kayonza H/C III (Kanungu)","Kanungu","Kanungu Hub"
"Rugyeyo H/C III","Kanungu","Kanungu Hub"
"Makiro H/C III","Kanungu","Kanungu Hub"
"Kayonza Tea Factory","Kanungu","Kanungu Hub"
"Kirima H/C III","Kanungu","Kanungu Hub"
"Nyamirama H/C III","Kanungu","Kanungu Hub"
"Kinaba H/C III","Kanungu","Kanungu Hub"
"Nyamwegabira H/C III","Kanungu","Kanungu Hub"
"Matanda H/C III","Kanungu","Kanungu Hub"
"Mburamizi H/C III","Kanungu","Kanungu Hub"
"Butogota H/C II","Kanungu","Kanungu Hub"
"Bugiri H/C III","Kanungu","Kanungu Hub"
"Kanungu Prisons H/C II","Kanungu","Kanungu Hub"
"Kapchorwa Hospital","Kapchorwa","Kapchorwa Hub"
"Siipi H/C III","Kapchorwa","Kapchorwa Hub"
"Tegeres H/C III","Kapchorwa","Kapchorwa Hub"
"Chebonet H/C III","Kapchorwa","Kapchorwa Hub"
"Cheptuya H/C III","Kapchorwa","Kapchorwa Hub"
"Kabeywa H/C III","Kapchorwa","Kapchorwa Hub"
"Kaserem H/C III","Kapchorwa","Kapchorwa Hub"
"Gamogo H/C III","Kapchorwa","Kapchorwa Hub"
"Kapchorwa Prisons H/C III","Kapchorwa","Kapchorwa Hub"
"Acowa H/C III","Kapelebyong","Amuria Hub"
"Obalanga H/C III","Kapelebyong","Amuria Hub"
"St Francis Acumet","Kapelebyong","Amuria Hub"
"Kapelebyong H/C IV","Kapelebyong","Amuria Hub"
"Bwera Hospital","Kasese","Kagando Hub"
"Kagando Hospital","Kasese","Kagando Hub"
"Kasanga PHC III","Kasese","Kagando Hub"
"Katwe H/C III (Kasese)","Kasese","Kagando Hub"
"Muhokya H/C III","Kasese","Kilembe Mines Hub"
"Nyabirongo H/C III","Kasese","Kagando Hub"
"Nyabugando H/C III","Kasese","Kagando Hub"
"Hima Cement Clinic","Kasese","Kilembe Mines Hub"
"Kisojo H/C II (Kasese)","Kasese","Kagando Hub"
"Hima Gov't H/C III","Kasese","Kilembe Mines Hub"
"Katadoba H/C III","Kasese","Kilembe Mines Hub"
"Karambi H/C III (Kaseese)","Kasese","Kagando Hub"
"Kilembe Mines Hospital","Kasese","Kilembe Mines Hub"
"Kasese Municipal Council H/C III (KMC)","Kasese","Kilembe Mines Hub"
"Maliba H/C III","Kasese","Kilembe Mines Hub"
"Katunguru H/C II (Kasese)","Kasese","Kagando Hub"
"Kavera H/C III","Kasese","Kilembe Mines Hub"
"Kabatunda H/C III","Kasese","Kilembe Mines Hub"
"Kyanya SDA H/C III","Kasese","Kilembe Mines Hub"
"Kitswamba H/C III","Kasese","Kilembe Mines Hub"
"St Pauls H/C IV","Kasese","Kilembe Mines Hub"
"Bugoye H/C III","Kasese","Kilembe Mines Hub"
